ngram,freq
de o processo de,82447
em o país .,82287
et al .,82182
mundial .,82002
problema .,81444
é .,81321
", em a verdade",80922
2 .,80677
de o centro de,80520
por exemplo .,80519
em o processo de,80360
ambiente .,80137
política .,79847
", o que é",79671
lei .,79601
o dr .,79470
um de os maiores,78997
a internet .,78903
de o ministério público,78820
processo .,78479
em relação a os,78238
qualidade .,78219
o site de a,78213
o ano .,78173
", em o qual",78059
por causa de a,78053
", por isso ,",77551
ii --,77398
""" , disse o",77338
2012 .,77170
em os termos de,76881
em a região de,76823
a importância de a,76571
o governo .,76504
frente .,76484
o dia a dia,76285
o mercado .,76253
"que , em o",76230
em o estado de,76179
projeto .,75893
amor .,75719
unidos .,75540
assunto .,75400
2013 .,75197
em o momento de,75029
o aumento de a,75018
justiça .,75005
morte .,74792
", entre outros .",74433
", através de a",74379
pessoa .,74253
de o ministério da,74054
", em são paulo",74045
noite .,73936
futuro .,73934
isso ?,73880
de a década de,73820
de a área de,73720
de isso .,73611
mês .,73610
dinheiro .,73499
o longo de a,73337
a a frente de,73321
a população .,73255
", por exemplo .",73147
em o mercado de,73038
demais .,72777
de a secretaria de,72734
o valor de a,72689
do sul .,72565
estados unidos .,72550
mil .,72200
evento .,72056
coisas .,71916
o local .,71893
2010 .,71826
3 --,71812
profissional .,71723
diferentes .,71398
caso .,71202
o uso de o,71088
decisão :,70901
né ?,70632
a copa do mundo,70572
área .,70368
o município .,70309
"de este ano ,",70051
o centro de a,69752
certo .,69691
com a presença de,69632
época .,69527
de vida .,69523
a universidade federal de,69344
educação .,69194
o estado de são,69019
em o valor de,68856
por o fato de,68837
de o sistema de,68820
o supremo tribunal federal,68803
direito .,68595
uma de as mais,68545
em o brasil e,68420
internacional .,68235
em a vida de,68168
fora .,68010
sempre .,67979
todo .,67935
o valor de o,67888
o longo de os,67803
crianças .,67732
agora .,67727
realidade .,67678
novo .,67590
"que , em a",67508
são :,67465
outras .,67438
em o município de,67339
grande .,67322
", em o rio",67232
o interior de o,67216
o uso de a,67001
o estado de o,66914
o trabalho .,66826
diz .,66817
a manhã de esta,66728
a terra .,66429
é o caso de,66256
de o programa de,66236
afirmou .,66177
o mercado de trabalho,66147
idade .,66104
segurança .,66055
um .,66003
exemplo :,65978
los .,65894
mulheres .,65850
com a participação de,65723
", em a qual",65681
os estados unidos .,65576
as pessoas .,65518
anterior .,65386
"de o ano ,",65346
escola .,65233
o princípio de a,64944
ano passado .,64627
o outro .,64536
bom .,64397
poder .,64346
filhos .,64223
sucesso .,64202
", em o caso",64107
de acordo com as,64043
") , em a",64008
em o campo de,63864
2011 .,63772
"de a empresa ,",63768
foi um de os,63658
o desenvolvimento de a,63561
de saúde .,63426
a presença de o,63306
humano .,63196
de um de os,62741
situação .,62598
outra .,62585
em o art .,62537
a questão de a,62488
o lado de a,62332
", que é o",62301
os outros .,62202
", afirmou .",62106
maior .,61994
o ano passado .,61952
lado .,61907
em o lugar de,61819
mulher .,61656
em o dia seguinte,61522
brasileiros .,61410
prof .,61286
pontos .,61268
de a universidade federal,61259
campo .,61256
humana .,61214
em a sede de,61210
por causa de o,61187
um de os principais,60978
real .,60891
grupo .,60782
países .,60687
o tempo .,60508
"em o país ,",60476
civil .,60288
em são paulo .,60232
em o dia de,60157
humanos .,60053
vezes .,60039
e .,59995
a importância de o,59978
n .,59959
", através de o",59837
para o desenvolvimento de,59764
de o curso de,59659
o meio de a,59606
clientes .,59557
em a semana passada,59550
o desenvolvimento de o,59507
de a empresa .,59349
filho .,59159
o evento .,59056
"e , portanto ,",58963
"em este caso ,",58910
"em esse sentido ,",58752
homem .,58633
empresas .,58619
""" , afirmou .",58528
com o apoio de,58361
de o uso de,58331
a área de a,58329
a qualidade de o,58201
", em os termos",58184
", bem como a",58159
filme .,58083
"além disso , o",58072
de o lado de,58010
em a história de,57937
de a vida .,57889
em um de os,57888
amigos .,57828
ser .,57602
a sede de a,57520
"por exemplo , a",57500
si .,57497
povo .,57393
problemas .,57384
", o que não",57244
o assunto .,57144
3 .,57137
coração .,57007
pessoal .,56855
rio .,56820
estado de o rio,56772
futebol .,56442
até o final de,56415
o jogo .,56385
é :,56252
"de a vida ,",56169
fls .,56002
de o departamento de,55980
a história .,55817
o meio de o,55805
antes .,55750
cada um de os,55713
( art .,55698
site .,55676
fim .,55570
na medida em que,55479
iii --,55439
"ou seja , a",55356
"mais uma vez ,",55342
a casa .,55327
capital .,55144
", em o bairro",55132
de são paulo (,55001
a câmara dos deputados,54988
que diz respeito a,54976
conta .,54975
em uma de as,54972
", já que o",54964
por parte de o,54896
"além disso , a",54832
cabeça .,54762
o valor de r$,54405
", presidente de a",54344
natureza .,54342
em casa .,54335
em as mãos de,54315
comum .,54260
4 --,54018
programa .,53943
hora .,53784
faz parte de o,53780
os termos de o,53711
o futuro .,53649
o site de o,53605
", diz .",53457
em o começo de,53405
de o governo federal,53388
a frente de o,53375
a secretaria municipal de,53264
de acordo com os,53243
a tarde de esta,53162
10 .,53125
de .,53123
reais .,53053
produção .,52989
de o meio ambiente,52958
"em esse caso ,",52932
especial .,52828
para a realização de,52778
o projeto .,52749
europa .,52718
serviços .,52605
", que é a",52471
2009 .,52451
serviço .,52449
de o governo de,52399
o projeto de lei,52371
em as redes sociais,52366
públicos .,52358
paulo --,52339
carro .,52298
"em a época ,",52271
", em o centro",52148
a equipe de o,51990
a qualidade de vida,51985
aí .,51978
o mesmo .,51971
depois .,51968
simples .,51954
uma de as maiores,51909
em todo o mundo,51743
o momento de a,51695
municipal .,51657
com a ajuda de,51637
tarde .,51523
obra .,51458
", em vez de",51446
ao contrário de o,51371
clube .,51263
", de fato ,",51155
de o ano .,51056
2008 .,51026
pouco .,50969
sua vida .,50968
a vida de o,50905
em o último dia,50879
por conta de a,50798
blog .,50752
"de o governo ,",50603
pai .,50587
a família .,50580
trata- se de um,50578
a partir de os,50545
importante .,50488
igreja .,50447
o corpo .,50355
de o município de,50351
de a qualidade de,50319
homens .,50147
em parceria com a,50134
mãe .,50102
mal .,50087
o processo .,50048
sistema .,50006
de a região .,49978
faz parte de a,49948
ou não .,49897
", e em o",49883
de a américa latina,49745
no que diz respeito,49686
a escola .,49653
", de modo que",49477
que se refere a,49326
de o presidente de,49272
rio grande do norte,49228
a decisão de o,49210
de s .,49209
fácil .,49184
"ou seja , o",49144
", com o objetivo",49114
""" , diz .",49020
livro .,48979
como um de os,48939
"e , em o",48939
", já que a",48920
o dia .,48755
em o mundo de,48754
produto .,48732
a região de o,48727
a primeira vez que,48712
sentido .,48709
a construção de o,48637
de este ano .,48637
", ao contrário de",48601
de o distrito federal,48599
gente .,48522
são paulo --,48364
normal .,48342
o ministério da saúde,48232
em o mês de,48175
planeta .,48171
cristo .,48169
", né ?",48157
de o espírito santo,48153
em o momento em,48134
", em o mínimo",48133
parte .,48084
ação .,48067
alunos .,48042
de a copa do,48032
"por exemplo , o",48014
de 2014 .,47960
comunidade .,47895
"no entanto , a",47856
a noite .,47788
em o desenvolvimento de,47685
do estado de são,47631
período .,47584
a partir de aí,47574
caminho .,47562
governo de o estado,47429
cultura .,47426
equipe .,47347
av .,47306
em o mundo .,47270
novamente .,47270
militar .,47252
um de os melhores,47237
de o século xx,47222
de o início de,47196
o nome de a,47168
doença .,47159
resultados .,47150
forma .,47144
seguinte :,47091
a construção de a,47030
bilhões .,46937
em as áreas de,46909
ponto de vista de,46858
a criação de o,46850
pele .,46756
"anos de idade ,",46745
ninguém .,46727
espaço .,46695
de a vida de,46694
em a construção de,46631
em a época de,46604
de o grupo de,46591
pela primeira vez em,46568
energia .,46491
o problema é que,46483
natural .,46373
questão .,46353
criança .,46349
abaixo .,46312
d .,46297
conhecimento .,46262
exterior .,46183
mesma .,46090
afirma .,45942
de o número de,45716
crime .,45671
por :,45619
", além de os",45610
legal .,45603
trata- se de uma,45526
brasília .,45471
claro .,45466
quê ?,45448
respectivamente .,45388
", em a cidade",45365
a morte de o,45365
jesus .,45287
", tendo em vista",45286
", o presidente de",45283
atenção .,45280
em a frente de,45203
a saúde .,45195
de 2016 .,45183
é por isso que,45160
texto .,45033
música .,45020
a frente de a,44974
o governo do estado,44962
competição .,44922
animais .,44914
"de o tempo ,",44885
de a lei nº,44821
o aumento de o,44777
a europa .,44768
de 2015 .,44702
negócio .,44679
o tribunal de justiça,44648
de a faculdade de,44617
a presidente dilma rousseff,44594
norte .,44521
", assim como a",44452
o caso .,44421
de o outro lado,44289
com ele .,44257
produtos .,44213
mato grosso do sul,44180
"em o mínimo ,",44161
", com base em",44157
feliz .,44146
", em o sentido",44115
feito .,44100
"no entanto , o",44070
a área .,44060
por parte de os,43968
não ?,43937
a realização de o,43899
""" , diz o",43895
a frente .,43723
a lei .,43721
desde o início de,43697
tema .,43633
eua .,43611
de o instituto de,43519
"de o trabalho ,",43506
superior .,43497
nome .,43492
de o projeto de,43454
contrário .,43367
o programa .,43366
em relação a as,43365
a sede de o,43360
de a comissão de,43303
", mas em a",43300
", por volta de",43264
volta .,43150
prazo .,42999
", afirma .",42940
necessário .,42940
"grande do sul ,",42933
"e , por isso",42867
", e de o",42736
maioria de as vezes,42621
em a produção de,42618
eleitoral .,42607
a cidade de são,42602
universidade de são paulo,42589
em a cidade .,42569
presente .,42553
para a construção de,42549
"em a prática ,",42542
carreira .,42477
", como por exemplo",42468
5 --,42462
", apesar de a",42454
que a maioria de,42445
", mais uma vez",42435
", em o brasil",42416
a respeito de a,42407
de o século xix,42335
o ano que vem,42333
guerra .,42311
"em o mundo ,",42269
desenvolvimento .,42266
santos .,42227
presidente de a câmara,42154
a respeito de o,42135
meio ambiente .,42125
uma de as principais,42058
temporada .,41996
pena .,41897
de uma de as,41889
cliente .,41885
a qualidade de a,41800
jr .,41734
", em o final",41708
setor .,41641
"disse : """,41632
a justiça .,41608
informação .,41574
", em parceria com",41532
de o código de,41531
4 .,41518
até o fim de,41504
de a falta de,41491
las .,41486
de o valor de,41465
"que , a o",41429
atrás .,41407
de elas .,41405
a o fim de,41374
a casa de o,41305
", mas em o",41283
de idade .,41274
", e em a",41232
forte .,41229
por conta de o,41220
a época .,41218
é ?,41211
em a sala de,41173
paulista .,41169
ainda .,41133
o tribunal de contas,41094
o direito a a,41056
setembro .,41028
partida .,41013
o caso de os,40922
no que se refere,40918
luz .,40894
em o rio grande,40888
", fazendo com que",40814
não !,40812
mar .,40793
de o tribunal de,40668
ar .,40659
a hora de o,40557
", por causa de",40550
do brasil .,40536
rua .,40529
difícil .,40475
tempos .,40473
com o intuito de,40342
decisão .,40321
em a minha opinião,40262
% de a população,40250
o,40204
a hora de a,40203
"como , por exemplo",40201
seguinte .,40187
de o município .,40157
por parte de a,40014
"os últimos anos ,",39938
a morte .,39917
", pelo menos ,",39851
"de o município ,",39825
"e , principalmente ,",39813
o fato de o,39807
", respectivamente .",39760
humanidade .,39647
""" , afirma .",39645
final de o ano,39635
em frente a o,39633
estadual .,39590
"em a ocasião ,",39582
", assim como o",39569
ali .,39550
pesquisa .,39520
em geral .,39500
""" , afirmou o",39481
de o brasil e,39432
mesmo ?,39431
", muitas vezes ,",39423
em a parte de,39331
o resto de o,39328
a noite de esta,39306
em o decorrer de,39306
"em este ano ,",39301
iv --,39293
mesmos .,39288
o lançamento de o,39288
o dia de o,39272
a verdade é que,39233
comunicação .,39227
político .,39226
em :,39161
de o trabalho de,39155
"de a sociedade ,",39154
agosto .,39135
a américa do sul,39130
portugal .,39119
", em a sua",39065
"em primeiro lugar ,",39041
olhos .,39041
o público .,38991
república .,38962
outubro .,38927
menos .,38870
eu .,38855
o apoio de a,38845
"de a casa ,",38825
", em o ano",38773
em o bairro de,38765
de a sociedade .,38760
negócios .,38735
", a maioria de",38711
a questão de o,38660
os membros de a,38643
silva .,38576
a igreja .,38565
a secretaria de estado,38522
", ao invés de",38516
com base em a,38468
em torno de o,38459
baixo .,38453
de o governo .,38442
o âmbito de a,38418
", em a região",38367
", em seguida ,",38366
"de o evento ,",38358
"de a região ,",38345
de o que se,38326
acontecer .,38286
informações .,38272
pais .,38238
cada uma de as,38189
o ministro de a,38165
com base em o,38129
o dia em que,38119
em esta quarta-feira (,38101
o grupo .,38098
prática .,38094
de o conselho de,38086
brasil --,38080
os eua .,38059
públicas .,38025
tratamento .,38012
ambiental .,37988
o controle de a,37950
atual .,37925
a direção de o,37909
"em a internet ,",37901
em a região .,37857
2007 .,37803
em torno de a,37793
locais .,37792
o dia de a,37653
", em relação a",37647
a palavra de deus,37637
", mas não é",37627
de a maioria de,37622
em o local .,37621
paz .,37550
o fato é que,37549
ao redor de o,37548
tem a ver com,37523
o âmbito de o,37494
ao mesmo tempo em,37465
instituição .,37463
de a população .,37402
com o passar de,37292
mão .,37292
centro de a cidade,37283
a redução de a,37249
jogos .,37214
em a lista de,37212
de o ser humano,37186
", a não ser",37185
o problema .,37172
de a equipe de,37167
respeito .,37145
economia .,37141
", devido a a",37141
de o corpo de,37128
de a casa de,37093
a universidade de são,37042
ver .,37025
o planeta .,37019
"o brasil , a",37018
o sistema .,36999
julho .,36988
original .,36946
a competição .,36930
"a a noite ,",36882
contrário de o que,36849
